id,value
id_0,27.414421138907848
id_1,61.555764338796564
id_2,20.49803196129541
id_3,29.534433611490282
id_4,10.797670108780299
id_5,36.2072019585263
id_6,39.71638389743081
id_7,16.5717571236374
id_8,48.23627374040759
id_9,33.983788973451176
id_10,39.25396543552985
id_11,58.48319051679343
id_12,37.233564665025746
id_13,41.66913211949533
id_14,27.552463091476017
id_15,13.188962402277248
id_16,52.30029122478248
id_17,23.633276389310417
id_18,19.766207301225663
id_19,20.513522315761147
id_20,15.662688636435984
id_21,28.492761653833114
id_22,38.03477309331393
id_23,11.080738661728937
id_24,58.242571958729094
id_25,44.53164348809789
id_26,28.87672212188023
id_27,9.80659246533586
id_28,29.699718450201477
id_29,36.3509063897558
id_30,19.4342878801931
id_31,12.71486258575852
id_32,17.011777101732694
id_33,8.62668931766548
id_34,18.82222165719922
id_35,38.66455325466788
id_36,20.084023351608394
id_37,28.392809216974527
id_38,6.944196018382103
id_39,59.68906378072071
id_40,46.63323825406622
id_41,17.285915015381836
id_42,49.708559840216424
id_43,18.985587712113748
id_44,44.15939046379017
id_45,51.19898476240755
id_46,61.646424572728925
id_47,40.29588701961106
id_48,51.040264090161614
id_49,42.081542940416824
id_50,30.756543300653536
id_51,25.43723701932489
id_52,41.07801634047809
id_53,26.36300434891951
id_54,38.2427821364607
id_55,39.900441553962956
id_56,25.700202264186977
id_57,22.495550527607772
id_58,37.45505335768725
id_59,31.50166897774278
id_60,15.993398048369293
id_61,23.134941563228626
id_62,31.722934691222477
id_63,55.05229489415021
id_64,49.79831948592002
id_65,27.169160090147592
id_66,41.803853111931346
id_67,53.97695624126253
id_68,28.60287695813176
id_69,39.58705763442593
id_70,64.41004099683421
id_71,53.21381239465384
id_72,44.598534880786836
id_73,11.816885689549908
id_74,13.289592184301458
id_75,37.13641117726438
id_76,60.84702575225402
id_77,3.7670480312213512
id_78,45.379579962509446
id_79,41.111222955899095
id_80,8.835973391734035
id_81,22.68054831738239
id_82,8.159403848471381
id_83,34.03009529750505
id_84,11.675378012130619
id_85,5.7595472546904265
id_86,16.876148600411046
id_87,12.034405723467732
id_88,13.361072807316775
id_89,28.145311378875462
id_90,30.62711955264908
id_91,11.835052985547588
id_92,14.132080743700024
id_93,8.394687915162741
id_94,36.41781289181146
id_95,16.17882253368331
id_96,16.285855847963944
id_97,9.213729994384183
id_98,11.671375685267375
id_99,4.634553560281807
id_100,13.608665862533469
id_101,18.480007259766353
id_102,11.821135863981171
id_103,6.0774215154965265
id_104,14.77175592157889
id_105,37.099344731089644
id_106,27.420060710163384
id_107,8.530799984870322
id_108,16.83561711691284
id_109,17.009873694654182
id_110,14.687410427868796
id_111,18.12587715592122
id_112,13.882086681124266
id_113,28.584211602627775
id_114,23.1426858284601
id_115,15.520795728986782
id_116,10.083488217771897
id_117,44.5644605529924
id_118,30.359912321752063
id_119,2.10279139110384
id_120,2.927833510450592
id_121,11.872323391929205
id_122,16.392896301064905
id_123,15.970878769349971
id_124,7.163709919594762
id_125,27.29382236139026
id_126,22.340197711791266
id_127,13.732502603016993
id_128,20.508382415263032
id_129,18.095688210360013
id_130,4.665614036458242
id_131,36.41189059247379
id_132,14.866076986310912
id_133,27.46575583878036
id_134,24.300247397428674
id_135,21.97534738918544
id_136,10.824580104837143
id_137,20.33385563089248
id_138,77.23322399988393
id_139,63.593761198029185
id_140,28.090510248566673
id_141,18.152016805003534
id_142,25.717190834076895
id_143,8.858041483073196
id_144,12.311782446664989
id_145,10.749838767606914
id_146,22.288277969870457
id_147,8.217187730711954
id_148,14.136199453576051
id_149,17.603725961692902
id_150,51.43025621074105
id_151,21.67736700943901
id_152,24.635012188900888
id_153,16.28079630072233
id_154,14.920055541589726
id_155,27.588243276311147
id_156,21.89754177084651
id_157,34.45580367947674
id_158,3.859293542944106
id_159,20.428824977874914
id_160,44.058010765901024
id_161,19.499130846885855
id_162,55.62940603627884
id_163,20.124473588171586
id_164,37.64354456595388
id_165,25.486716909731868
id_166,21.804944870038717
id_167,2.1067715576521953
id_168,66.67231076194314
id_169,18.205229735664062
id_170,18.401376335568262
id_171,68.6354308217404
id_172,21.52886408148606
id_173,3.3541080853358767
id_174,23.91711267193528
id_175,3.1932869323807678
id_176,7.336236804824112
id_177,19.802330216766542
id_178,21.028051026472635
id_179,21.301695961549548
id_180,43.10038167368021
id_181,27.726798036712935
id_182,29.345059352594312
id_183,12.926859464643123
id_184,9.494780318326137
id_185,41.79174848493841
id_186,37.56672487648474
id_187,33.465140561585834
